book_id,title,author,genres,description,average_rating,ratings_count,reviews_count,cleaned_description,standardized_genres
134,Decoding Analysis,Robert Kiyosaki,Non-fiction|Historical Fiction,"Written by the acclaimed author Robert Kiyosaki, this title delivers a gripping narrative centering on analysis and society. Ideal for fans of Non-fiction, Historical Fiction, it offers an immersive journey filled with facts, empire, generation, century.",4.02,739,64,"written by the acclaimed author robert kiyosaki, this title delivers a gripping narrative centering on analysis and society. ideal for fans of non-fiction, historical fiction, it offers an immersive journey filled with facts, empire, generation, century.",historical fiction|non-fiction
135,The Life of Memoir,Robert Kiyosaki,Biography|Science Fiction|Self-Help,"Written by the acclaimed author Robert Kiyosaki, this title delivers a gripping narrative centering on memoir and galaxy. Ideal for fans of Biography, Science Fiction, Self-Help, it offers an immersive journey filled with lifestyle, focus, cybernetic, personal, space, goals, journey.",4.11,410,29,"written by the acclaimed author robert kiyosaki, this title delivers a gripping narrative centering on memoir and galaxy. ideal for fans of biography, science fiction, self-help, it offers an immersive journey filled with lifestyle, focus, cybernetic, personal, space, goals, journey.",biography|science fiction|self-help
136,The Analysis Perspective,Tim Ferriss,Non-fiction|Historical Fiction,"A compelling read about empire, world, past, century, science and mind. This book explores deep themes, masterfully written by Tim Ferriss. It stands out in its representation of Non-fiction, Historical Fiction.",3.83,2165,323,"a compelling read about empire, world, past, century, science and mind. this book explores deep themes, masterfully written by tim ferriss. it stands out in its representation of non-fiction, historical fiction.",historical fiction|non-fiction
137,The Urgency Threat,Agatha Christie,Thriller,"Uncovering the intricacies of escape, this masterpiece by Agatha Christie combines elements of Thriller to create a breathtaking experience. Dive into a world where agent and deadly shape the ultimate destiny.",3.84,263,38,"uncovering the intricacies of escape, this masterpiece by agatha christie combines elements of thriller to create a breathtaking experience. dive into a world where agent and deadly shape the ultimate destiny.",thriller
138,Hearts in Emotional,Peter Thiel,Romance,"Uncovering the intricacies of marriage, this masterpiece by Peter Thiel combines elements of Romance to create a breathtaking experience. Dive into a world where devotion and lovers shape the ultimate destiny.",4.82,1082,129,"uncovering the intricacies of marriage, this masterpiece by peter thiel combines elements of romance to create a breathtaking experience. dive into a world where devotion and lovers shape the ultimate destiny.",romance
139,The Shadow of Sword,J.R.R. Tolkien,Fantasy|Romance,"A compelling read about hero, love, heart, affection, wizard and sword. This book explores deep themes, masterfully written by J.R.R. Tolkien. It stands out in its representation of Fantasy, Romance.",4.77,264,28,"a compelling read about hero, love, heart, affection, wizard and sword. this book explores deep themes, masterfully written by j.r.r. tolkien. it stands out in its representation of fantasy, romance.",fantasy|romance
140,Understanding Mind,Isaac Asimov,Non-fiction,"Uncovering the intricacies of society, this masterpiece by Isaac Asimov combines elements of Non-fiction to create a breathtaking experience. Dive into a world where science and reality shape the ultimate destiny.",3.75,2146,240,"uncovering the intricacies of society, this masterpiece by isaac asimov combines elements of non-fiction to create a breathtaking experience. dive into a world where science and reality shape the ultimate destiny.",non-fiction
141,Decoding Facts,Malcolm Gladwell,Non-fiction,"Uncovering the intricacies of world, this masterpiece by Malcolm Gladwell combines elements of Non-fiction to create a breathtaking experience. Dive into a world where human and facts shape the ultimate destiny.",3.42,323,31,"uncovering the intricacies of world, this masterpiece by malcolm gladwell combines elements of non-fiction to create a breathtaking experience. dive into a world where human and facts shape the ultimate destiny.",non-fiction
142,The Startup Startup,Sheryl Sandberg,Business,"A compelling read about management, corporate and wealth. This book explores deep themes, masterfully written by Sheryl Sandberg. It stands out in its representation of Business.",4.26,75,4,"a compelling read about management, corporate and wealth. this book explores deep themes, masterfully written by sheryl sandberg. it stands out in its representation of business.",business
143,Whispering Spark,Brandon Sanderson,Romance|Biography,"A compelling read about struggle, career, devotion, spark, life and emotional. This book explores deep themes, masterfully written by Brandon Sanderson. It stands out in its representation of Romance, Biography.",3.95,6319,511,"a compelling read about struggle, career, devotion, spark, life and emotional. this book explores deep themes, masterfully written by brandon sanderson. it stands out in its representation of romance, biography.",biography|romance
144,The Star Matrix,Nicholas Sparks,Science Fiction,"Uncovering the intricacies of future, this masterpiece by Nicholas Sparks combines elements of Science Fiction to create a breathtaking experience. Dive into a world where spaceships and cybernetic shape the ultimate destiny.",4.06,2131,141,"uncovering the intricacies of future, this masterpiece by nicholas sparks combines elements of science fiction to create a breathtaking experience. dive into a world where spaceships and cybernetic shape the ultimate destiny.",science fiction
145,No Way Conspiracy,Yuval Noah Harari,Thriller,"A compelling read about conspiracy, assassin and deadly. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Thriller.",3.21,5989,858,"a compelling read about conspiracy, assassin and deadly. this book explores deep themes, masterfully written by yuval noah harari. it stands out in its representation of thriller.",thriller
146,A Love in Love,Colleen Hoover,Romance|Business,"Uncovering the intricacies of management, this masterpiece by Colleen Hoover combines elements of Romance, Business to create a breathtaking experience. Dive into a world where innovation and emotional shape the ultimate destiny.",3.77,474,62,"uncovering the intricacies of management, this masterpiece by colleen hoover combines elements of romance, business to create a breathtaking experience. dive into a world where innovation and emotional shape the ultimate destiny.",business|romance
147,Motivation Habits,Robert Kiyosaki,Self-Help,"Written by the acclaimed author Robert Kiyosaki, this title delivers a gripping narrative centering on happiness and habits. Ideal for fans of Self-Help, it offers an immersive journey filled with mindset.",3.03,3376,496,"written by the acclaimed author robert kiyosaki, this title delivers a gripping narrative centering on happiness and habits. ideal for fans of self-help, it offers an immersive journey filled with mindset.",self-help
148,The Future Protocol,Tim Ferriss,Science Fiction,"Uncovering the intricacies of future, this masterpiece by Tim Ferriss combines elements of Science Fiction to create a breathtaking experience. Dive into a world where dimensions and technology shape the ultimate destiny.",3.92,929,89,"uncovering the intricacies of future, this masterpiece by tim ferriss combines elements of science fiction to create a breathtaking experience. dive into a world where dimensions and technology shape the ultimate destiny.",science fiction
149,A Love in Affection,Yuval Noah Harari,Romance|Science Fiction,"Written by the acclaimed author Yuval Noah Harari, this title delivers a gripping narrative centering on alien and heart. Ideal for fans of Romance, Science Fiction, it offers an immersive journey filled with dimensions, devotion, spark, futuristic.",3.08,324,18,"written by the acclaimed author yuval noah harari, this title delivers a gripping narrative centering on alien and heart. ideal for fans of romance, science fiction, it offers an immersive journey filled with dimensions, devotion, spark, futuristic.",romance|science fiction
150,Calculated Survival,Peter Thiel,Thriller|Non-fiction,"Written by the acclaimed author Peter Thiel, this title delivers a gripping narrative centering on facts and chase. Ideal for fans of Thriller, Non-fiction, it offers an immersive journey filled with assassin, escape, culture, mind.",3.92,956,143,"written by the acclaimed author peter thiel, this title delivers a gripping narrative centering on facts and chase. ideal for fans of thriller, non-fiction, it offers an immersive journey filled with assassin, escape, culture, mind.",non-fiction|thriller
151,The Cybernetic Odyssey,J.K. Rowling,Science Fiction|Self-Help,"A compelling read about alien, lifestyle, cybernetic, robot, success and motivation. This book explores deep themes, masterfully written by J.K. Rowling. It stands out in its representation of Science Fiction, Self-Help.",3.8,703,89,"a compelling read about alien, lifestyle, cybernetic, robot, success and motivation. this book explores deep themes, masterfully written by j.k. rowling. it stands out in its representation of science fiction, self-help.",science fiction|self-help
152,Hearts in Devotion,Gillian Flynn,Romance,"A compelling read about passion, heart and marriage. This book explores deep themes, masterfully written by Gillian Flynn. It stands out in its representation of Romance.",3.66,97,6,"a compelling read about passion, heart and marriage. this book explores deep themes, masterfully written by gillian flynn. it stands out in its representation of romance.",romance
153,Becoming Achievement,Brandon Sanderson,Biography|Business|Self-Help,"Written by the acclaimed author Brandon Sanderson, this title delivers a gripping narrative centering on management and wisdom. Ideal for fans of Biography, Business, Self-Help, it offers an immersive journey filled with strategy, discipline, sales, inspiration, habits, achievement, journey.",3.85,1233,89,"written by the acclaimed author brandon sanderson, this title delivers a gripping narrative centering on management and wisdom. ideal for fans of biography, business, self-help, it offers an immersive journey filled with strategy, discipline, sales, inspiration, habits, achievement, journey.",biography|business|self-help
154,Passion Forever,Ken Follett,Romance|Fantasy,"Written by the acclaimed author Ken Follett, this title delivers a gripping narrative centering on hero and wizard. Ideal for fans of Romance, Fantasy, it offers an immersive journey filled with marriage, spark, magic, romance.",4.28,4228,362,"written by the acclaimed author ken follett, this title delivers a gripping narrative centering on hero and wizard. ideal for fans of romance, fantasy, it offers an immersive journey filled with marriage, spark, magic, romance.",fantasy|romance
155,Cybernetic Millennium,Sheryl Sandberg,Science Fiction,"Uncovering the intricacies of future, this masterpiece by Sheryl Sandberg combines elements of Science Fiction to create a breathtaking experience. Dive into a world where spaceships and technology shape the ultimate destiny.",3.95,270,27,"uncovering the intricacies of future, this masterpiece by sheryl sandberg combines elements of science fiction to create a breathtaking experience. dive into a world where spaceships and technology shape the ultimate destiny.",science fiction
156,The Sword of Realm,Colleen Hoover,Fantasy|Biography|Thriller,"Uncovering the intricacies of survival, this masterpiece by Colleen Hoover combines elements of Fantasy, Biography, Thriller to create a breathtaking experience. Dive into a world where memoir and journey shape the ultimate destiny.",3.85,4279,578,"uncovering the intricacies of survival, this masterpiece by colleen hoover combines elements of fantasy, biography, thriller to create a breathtaking experience. dive into a world where memoir and journey shape the ultimate destiny.",biography|fantasy|thriller
157,Calculated Urgency,Philip K. Dick,Thriller,"A compelling read about survival, action and threat. This book explores deep themes, masterfully written by Philip K. Dick. It stands out in its representation of Thriller.",4.73,5466,752,"a compelling read about survival, action and threat. this book explores deep themes, masterfully written by philip k. dick. it stands out in its representation of thriller.",thriller
158,Whispering Affection,Yuval Noah Harari,Romance,"Uncovering the intricacies of love, this masterpiece by Yuval Noah Harari combines elements of Romance to create a breathtaking experience. Dive into a world where devotion and marriage shape the ultimate destiny.",3.34,481,25,"uncovering the intricacies of love, this masterpiece by yuval noah harari combines elements of romance to create a breathtaking experience. dive into a world where devotion and marriage shape the ultimate destiny.",romance
159,Star Millennium,Arthur C. Clarke,Science Fiction|Historical Fiction,"A compelling read about struggle, technology, rebel, past, star and artificial intelligence. This book explores deep themes, masterfully written by Arthur C. Clarke. It stands out in its representation of Science Fiction, Historical Fiction.",4.09,3437,413,"a compelling read about struggle, technology, rebel, past, star and artificial intelligence. this book explores deep themes, masterfully written by arthur c. clarke. it stands out in its representation of science fiction, historical fiction.",historical fiction|science fiction
160,Leading the Strategy,Brandon Sanderson,Business,"A compelling read about sales, economy and finance. This book explores deep themes, masterfully written by Brandon Sanderson. It stands out in its representation of Business.",3.6,441,22,"a compelling read about sales, economy and finance. this book explores deep themes, masterfully written by brandon sanderson. it stands out in its representation of business.",business
161,Technology Millennium,Nicholas Sparks,Science Fiction,"Uncovering the intricacies of galaxy, this masterpiece by Nicholas Sparks combines elements of Science Fiction to create a breathtaking experience. Dive into a world where alien and star shape the ultimate destiny.",4.28,80,7,"uncovering the intricacies of galaxy, this masterpiece by nicholas sparks combines elements of science fiction to create a breathtaking experience. dive into a world where alien and star shape the ultimate destiny.",science fiction
162,Happiness Habits,J.K. Rowling,Self-Help|Science Fiction,"A compelling read about alien, galaxy, focus, mindset, motivation and artificial intelligence. This book explores deep themes, masterfully written by J.K. Rowling. It stands out in its representation of Self-Help, Science Fiction.",4.2,564,47,"a compelling read about alien, galaxy, focus, mindset, motivation and artificial intelligence. this book explores deep themes, masterfully written by j.k. rowling. it stands out in its representation of self-help, science fiction.",science fiction|self-help
163,Legacy and His Times,Gillian Flynn,Biography,"A compelling read about career, memoir and legacy. This book explores deep themes, masterfully written by Gillian Flynn. It stands out in its representation of Biography.",4.48,726,65,"a compelling read about career, memoir and legacy. this book explores deep themes, masterfully written by gillian flynn. it stands out in its representation of biography.",biography
164,Focus Habits,Robert Kiyosaki,Self-Help,"Uncovering the intricacies of lifestyle, this masterpiece by Robert Kiyosaki combines elements of Self-Help to create a breathtaking experience. Dive into a world where motivation and mindset shape the ultimate destiny.",4.24,989,143,"uncovering the intricacies of lifestyle, this masterpiece by robert kiyosaki combines elements of self-help to create a breathtaking experience. dive into a world where motivation and mindset shape the ultimate destiny.",self-help
165,Understanding Human,Agatha Christie,Non-fiction,"Uncovering the intricacies of exploration, this masterpiece by Agatha Christie combines elements of Non-fiction to create a breathtaking experience. Dive into a world where human and mind shape the ultimate destiny.",3.03,622,59,"uncovering the intricacies of exploration, this masterpiece by agatha christie combines elements of non-fiction to create a breathtaking experience. dive into a world where human and mind shape the ultimate destiny.",non-fiction
166,The Mind Perspective,Ken Follett,Non-fiction,"Written by the acclaimed author Ken Follett, this title delivers a gripping narrative centering on culture and exploration. Ideal for fans of Non-fiction, it offers an immersive journey filled with system.",3.8,1078,89,"written by the acclaimed author ken follett, this title delivers a gripping narrative centering on culture and exploration. ideal for fans of non-fiction, it offers an immersive journey filled with system.",non-fiction
167,Career and His Times,Dale Carnegie,Biography|Thriller,"Written by the acclaimed author Dale Carnegie, this title delivers a gripping narrative centering on threat and triumph. Ideal for fans of Biography, Thriller, it offers an immersive journey filled with urgency, tension, life, journey.",3.21,1485,85,"written by the acclaimed author dale carnegie, this title delivers a gripping narrative centering on threat and triumph. ideal for fans of biography, thriller, it offers an immersive journey filled with urgency, tension, life, journey.",biography|thriller
168,Decoding Human,Simon Sinek,Non-fiction|Self-Help,"Written by the acclaimed author Simon Sinek, this title delivers a gripping narrative centering on growth and mindset. Ideal for fans of Non-fiction, Self-Help, it offers an immersive journey filled with discipline, human, culture, exploration.",3.3,1194,100,"written by the acclaimed author simon sinek, this title delivers a gripping narrative centering on growth and mindset. ideal for fans of non-fiction, self-help, it offers an immersive journey filled with discipline, human, culture, exploration.",non-fiction|self-help
169,Futuristic Millennium,Philip K. Dick,Science Fiction,"Written by the acclaimed author Philip K. Dick, this title delivers a gripping narrative centering on galaxy and futuristic. Ideal for fans of Science Fiction, it offers an immersive journey filled with artificial intelligence.",3.77,2092,244,"written by the acclaimed author philip k. dick, this title delivers a gripping narrative centering on galaxy and futuristic. ideal for fans of science fiction, it offers an immersive journey filled with artificial intelligence.",science fiction
170,12 Rules of Habits,Agatha Christie,Self-Help,"A compelling read about productivity, motivation and discipline. This book explores deep themes, masterfully written by Agatha Christie. It stands out in its representation of Self-Help.",3.6,375,20,"a compelling read about productivity, motivation and discipline. this book explores deep themes, masterfully written by agatha christie. it stands out in its representation of self-help.",self-help
171,The Culture Era,Simon Sinek,Non-fiction,"A compelling read about analysis, society and facts. This book explores deep themes, masterfully written by Simon Sinek. It stands out in its representation of Non-fiction.",3.56,256,17,"a compelling read about analysis, society and facts. this book explores deep themes, masterfully written by simon sinek. it stands out in its representation of non-fiction.",non-fiction
172,The Star Matrix,Robert Kiyosaki,Science Fiction,"A compelling read about alien, galaxy and star. This book explores deep themes, masterfully written by Robert Kiyosaki. It stands out in its representation of Science Fiction.",3.15,528,45,"a compelling read about alien, galaxy and star. this book explores deep themes, masterfully written by robert kiyosaki. it stands out in its representation of science fiction.",science fiction
173,Portrait and His Times,Philip K. Dick,Biography,"A compelling read about inspiration, portrait and triumph. This book explores deep themes, masterfully written by Philip K. Dick. It stands out in its representation of Biography.",4.68,693,37,"a compelling read about inspiration, portrait and triumph. this book explores deep themes, masterfully written by philip k. dick. it stands out in its representation of biography.",biography
174,The Shadow of Legendary,Robert Kiyosaki,Fantasy|Romance|Thriller,"A compelling read about hero, elf, deadly, assassin, legendary, passion, romance, escape and emotional. This book explores deep themes, masterfully written by Robert Kiyosaki. It stands out in its representation of Fantasy, Romance, Thriller.",4.03,2823,164,"a compelling read about hero, elf, deadly, assassin, legendary, passion, romance, escape and emotional. this book explores deep themes, masterfully written by robert kiyosaki. it stands out in its representation of fantasy, romance, thriller.",fantasy|romance|thriller
175,The Marketing Startup,Walter Isaacson,Business,"A compelling read about innovation, corporate and entrepreneur. This book explores deep themes, masterfully written by Walter Isaacson. It stands out in its representation of Business.",3.75,510,66,"a compelling read about innovation, corporate and entrepreneur. this book explores deep themes, masterfully written by walter isaacson. it stands out in its representation of business.",business
176,Leading the Finance,Philip K. Dick,Business|Thriller,"Written by the acclaimed author Philip K. Dick, this title delivers a gripping narrative centering on corporate and deadly. Ideal for fans of Business, Thriller, it offers an immersive journey filled with agent, startup, threat, economy.",3.47,1333,94,"written by the acclaimed author philip k. dick, this title delivers a gripping narrative centering on corporate and deadly. ideal for fans of business, thriller, it offers an immersive journey filled with agent, startup, threat, economy.",business|thriller
177,The Futuristic Protocol,Simon Sinek,Science Fiction,"Uncovering the intricacies of cybernetic, this masterpiece by Simon Sinek combines elements of Science Fiction to create a breathtaking experience. Dive into a world where star and dimensions shape the ultimate destiny.",3.68,42,4,"uncovering the intricacies of cybernetic, this masterpiece by simon sinek combines elements of science fiction to create a breathtaking experience. dive into a world where star and dimensions shape the ultimate destiny.",science fiction
178,Decoding Science,Tim Ferriss,Non-fiction,"Written by the acclaimed author Tim Ferriss, this title delivers a gripping narrative centering on analysis and reality. Ideal for fans of Non-fiction, it offers an immersive journey filled with facts.",3.52,47,5,"written by the acclaimed author tim ferriss, this title delivers a gripping narrative centering on analysis and reality. ideal for fans of non-fiction, it offers an immersive journey filled with facts.",non-fiction
179,Letters from Struggle,Ken Follett,Historical Fiction|Science Fiction,"A compelling read about alien, galaxy, struggle, rebel, future and history. This book explores deep themes, masterfully written by Ken Follett. It stands out in its representation of Historical Fiction, Science Fiction.",4.06,966,97,"a compelling read about alien, galaxy, struggle, rebel, future and history. this book explores deep themes, masterfully written by ken follett. it stands out in its representation of historical fiction, science fiction.",historical fiction|science fiction
180,Shadows of Ancient,Robert Kiyosaki,Historical Fiction,"Uncovering the intricacies of rebel, this masterpiece by Robert Kiyosaki combines elements of Historical Fiction to create a breathtaking experience. Dive into a world where struggle and vintage shape the ultimate destiny.",3.36,731,69,"uncovering the intricacies of rebel, this masterpiece by robert kiyosaki combines elements of historical fiction to create a breathtaking experience. dive into a world where struggle and vintage shape the ultimate destiny.",historical fiction
181,Vanished in Case,Isaac Asimov,Mystery,"A compelling read about detective, suspect and mystery. This book explores deep themes, masterfully written by Isaac Asimov. It stands out in its representation of Mystery.",3.08,849,65,"a compelling read about detective, suspect and mystery. this book explores deep themes, masterfully written by isaac asimov. it stands out in its representation of mystery.",mystery
182,The Heir of Legendary,Adam Grant,Fantasy|Historical Fiction,"Written by the acclaimed author Adam Grant, this title delivers a gripping narrative centering on war and era. Ideal for fans of Fantasy, Historical Fiction, it offers an immersive journey filled with prophecy, legendary, century, realm.",3.72,628,51,"written by the acclaimed author adam grant, this title delivers a gripping narrative centering on war and era. ideal for fans of fantasy, historical fiction, it offers an immersive journey filled with prophecy, legendary, century, realm.",fantasy|historical fiction
183,Whispers from the Wizard,Tim Ferriss,Fantasy,"Written by the acclaimed author Tim Ferriss, this title delivers a gripping narrative centering on wizard and sword. Ideal for fans of Fantasy, it offers an immersive journey filled with kingdom.",3.51,181,11,"written by the acclaimed author tim ferriss, this title delivers a gripping narrative centering on wizard and sword. ideal for fans of fantasy, it offers an immersive journey filled with kingdom.",fantasy
184,Triumph and His Times,Colleen Hoover,Biography|Non-fiction,"Uncovering the intricacies of society, this masterpiece by Colleen Hoover combines elements of Biography, Non-fiction to create a breathtaking experience. Dive into a world where nature and journey shape the ultimate destiny.",3.9,1983,233,"uncovering the intricacies of society, this masterpiece by colleen hoover combines elements of biography, non-fiction to create a breathtaking experience. dive into a world where nature and journey shape the ultimate destiny.",biography|non-fiction
185,Understanding Nature,Sheryl Sandberg,Non-fiction,"A compelling read about world, society and facts. This book explores deep themes, masterfully written by Sheryl Sandberg. It stands out in its representation of Non-fiction.",3.8,3928,230,"a compelling read about world, society and facts. this book explores deep themes, masterfully written by sheryl sandberg. it stands out in its representation of non-fiction.",non-fiction
186,Whispering Devotion,Nicholas Sparks,Romance,"Uncovering the intricacies of date, this masterpiece by Nicholas Sparks combines elements of Romance to create a breathtaking experience. Dive into a world where heart and emotional shape the ultimate destiny.",4.87,2247,279,"uncovering the intricacies of date, this masterpiece by nicholas sparks combines elements of romance to create a breathtaking experience. dive into a world where heart and emotional shape the ultimate destiny.",romance
187,Journey Unveiled,George R.R. Martin,Biography,"Uncovering the intricacies of career, this masterpiece by George R.R. Martin combines elements of Biography to create a breathtaking experience. Dive into a world where personal and inspiration shape the ultimate destiny.",3.33,529,41,"uncovering the intricacies of career, this masterpiece by george r.r. martin combines elements of biography to create a breathtaking experience. dive into a world where personal and inspiration shape the ultimate destiny.",biography
188,The Sword of Hero,Ken Follett,Fantasy|Science Fiction|Non-fiction,"A compelling read about galaxy, society, spaceships, spell, future, human, science, dragon and magic. This book explores deep themes, masterfully written by Ken Follett. It stands out in its representation of Fantasy, Science Fiction, Non-fiction.",4.43,138,14,"a compelling read about galaxy, society, spaceships, spell, future, human, science, dragon and magic. this book explores deep themes, masterfully written by ken follett. it stands out in its representation of fantasy, science fiction, non-fiction.",fantasy|non-fiction|science fiction
189,The War Secret,Yuval Noah Harari,Historical Fiction|Business,"A compelling read about entrepreneur, vintage, strategy, wealth, past and ancient. This book explores deep themes, masterfully written by Yuval Noah Harari. It stands out in its representation of Historical Fiction, Business.",3.17,1307,78,"a compelling read about entrepreneur, vintage, strategy, wealth, past and ancient. this book explores deep themes, masterfully written by yuval noah harari. it stands out in its representation of historical fiction, business.",business|historical fiction
190,12 Rules of Motivation,Ken Follett,Self-Help,"A compelling read about productivity, lifestyle and growth. This book explores deep themes, masterfully written by Ken Follett. It stands out in its representation of Self-Help.",3.59,313,20,"a compelling read about productivity, lifestyle and growth. this book explores deep themes, masterfully written by ken follett. it stands out in its representation of self-help.",self-help
191,The Investigation Alibi,James Clear,Mystery,"Written by the acclaimed author James Clear, this title delivers a gripping narrative centering on murder and mystery. Ideal for fans of Mystery, it offers an immersive journey filled with secrets.",3.53,235,15,"written by the acclaimed author james clear, this title delivers a gripping narrative centering on murder and mystery. ideal for fans of mystery, it offers an immersive journey filled with secrets.",mystery
192,Calculated Deadly,Philip K. Dick,Thriller|Romance,"A compelling read about date, heart, danger, spark, action and escape. This book explores deep themes, masterfully written by Philip K. Dick. It stands out in its representation of Thriller, Romance.",2.67,1512,224,"a compelling read about date, heart, danger, spark, action and escape. this book explores deep themes, masterfully written by philip k. dick. it stands out in its representation of thriller, romance.",romance|thriller
193,The Heritage of War,Philip K. Dick,Historical Fiction|Business,"Written by the acclaimed author Philip K. Dick, this title delivers a gripping narrative centering on management and rebel. Ideal for fans of Historical Fiction, Business, it offers an immersive journey filled with sales, century, heritage, wealth.",3.69,223,32,"written by the acclaimed author philip k. dick, this title delivers a gripping narrative centering on management and rebel. ideal for fans of historical fiction, business, it offers an immersive journey filled with sales, century, heritage, wealth.",business|historical fiction
194,Echoes of Robot,Gillian Flynn,Science Fiction,"Uncovering the intricacies of alien, this masterpiece by Gillian Flynn combines elements of Science Fiction to create a breathtaking experience. Dive into a world where spaceships and space shape the ultimate destiny.",3.91,923,69,"uncovering the intricacies of alien, this masterpiece by gillian flynn combines elements of science fiction to create a breathtaking experience. dive into a world where spaceships and space shape the ultimate destiny.",science fiction
195,Becoming Legacy,Arthur Conan Doyle,Biography,"Written by the acclaimed author Arthur Conan Doyle, this title delivers a gripping narrative centering on memoir and achievement. Ideal for fans of Biography, it offers an immersive journey filled with inspiration.",4.03,205,29,"written by the acclaimed author arthur conan doyle, this title delivers a gripping narrative centering on memoir and achievement. ideal for fans of biography, it offers an immersive journey filled with inspiration.",biography
196,The Story of Personal,Simon Sinek,Biography,"Written by the acclaimed author Simon Sinek, this title delivers a gripping narrative centering on memoir and legacy. Ideal for fans of Biography, it offers an immersive journey filled with inspiration.",4.72,4644,362,"written by the acclaimed author simon sinek, this title delivers a gripping narrative centering on memoir and legacy. ideal for fans of biography, it offers an immersive journey filled with inspiration.",biography
197,Becoming Journey,Brandon Sanderson,Biography|Business,"Uncovering the intricacies of management, this masterpiece by Brandon Sanderson combines elements of Biography, Business to create a breathtaking experience. Dive into a world where legacy and inspiration shape the ultimate destiny.",3.5,1319,108,"uncovering the intricacies of management, this masterpiece by brandon sanderson combines elements of biography, business to create a breathtaking experience. dive into a world where legacy and inspiration shape the ultimate destiny.",biography|business
198,The Shadow of Dragon,Nicholas Sparks,Fantasy|Science Fiction|Mystery,"Written by the acclaimed author Nicholas Sparks, this title delivers a gripping narrative centering on hero and suspect. Ideal for fans of Fantasy, Science Fiction, Mystery, it offers an immersive journey filled with wizard, futuristic, cybernetic, mystery, quest, artificial intelligence, secrets.",3.93,24,1,"written by the acclaimed author nicholas sparks, this title delivers a gripping narrative centering on hero and suspect. ideal for fans of fantasy, science fiction, mystery, it offers an immersive journey filled with wizard, futuristic, cybernetic, mystery, quest, artificial intelligence, secrets.",fantasy|mystery|science fiction
199,Passion Forever,Sheryl Sandberg,Romance,"Uncovering the intricacies of marriage, this masterpiece by Sheryl Sandberg combines elements of Romance to create a breathtaking experience. Dive into a world where heart and lovers shape the ultimate destiny.",3.92,224,17,"uncovering the intricacies of marriage, this masterpiece by sheryl sandberg combines elements of romance to create a breathtaking experience. dive into a world where heart and lovers shape the ultimate destiny.",romance
200,The Detective Alibi,Robert Kiyosaki,Mystery|Business|Historical Fiction,"Written by the acclaimed author Robert Kiyosaki, this title delivers a gripping narrative centering on corporate and era. Ideal for fans of Mystery, Business, Historical Fiction, it offers an immersive journey filled with rebel, detective, unravel, sales, finance, past, murder.",3.29,917,89,"written by the acclaimed author robert kiyosaki, this title delivers a gripping narrative centering on corporate and era. ideal for fans of mystery, business, historical fiction, it offers an immersive journey filled with rebel, detective, unravel, sales, finance, past, murder.",business|historical fiction|mystery
201,Whispers from the Legendary,Daniel Kahneman,Fantasy|Biography,"Written by the acclaimed author Daniel Kahneman, this title delivers a gripping narrative centering on hero and spell. Ideal for fans of Fantasy, Biography, it offers an immersive journey filled with sword, triumph, personal, life.",3.51,704,58,"written by the acclaimed author daniel kahneman, this title delivers a gripping narrative centering on hero and spell. ideal for fans of fantasy, biography, it offers an immersive journey filled with sword, triumph, personal, life.",biography|fantasy
202,Prophecy and the Lost Kingdom,Stephen King,Fantasy,"Written by the acclaimed author Stephen King, this title delivers a gripping narrative centering on hero and quest. Ideal for fans of Fantasy, it offers an immersive journey filled with realm.",3.53,1656,195,"written by the acclaimed author stephen king, this title delivers a gripping narrative centering on hero and quest. ideal for fans of fantasy, it offers an immersive journey filled with realm.",fantasy
203,The Generation Tailor,Neil Gaiman,Historical Fiction|Business,"A compelling read about innovation, marketing, empire, strategy, heritage and ancient. This book explores deep themes, masterfully written by Neil Gaiman. It stands out in its representation of Historical Fiction, Business.",4.04,3751,364,"a compelling read about innovation, marketing, empire, strategy, heritage and ancient. this book explores deep themes, masterfully written by neil gaiman. it stands out in its representation of historical fiction, business.",business|historical fiction
204,Hearts in Heart,Walter Isaacson,Romance,"Written by the acclaimed author Walter Isaacson, this title delivers a gripping narrative centering on romance and love. Ideal for fans of Romance, it offers an immersive journey filled with passion.",3.0,192,27,"written by the acclaimed author walter isaacson, this title delivers a gripping narrative centering on romance and love. ideal for fans of romance, it offers an immersive journey filled with passion.",romance
205,Understanding Facts,Tim Ferriss,Non-fiction|Thriller,"Written by the acclaimed author Tim Ferriss, this title delivers a gripping narrative centering on survival and facts. Ideal for fans of Non-fiction, Thriller, it offers an immersive journey filled with danger, urgency, culture, exploration.",3.97,322,46,"written by the acclaimed author tim ferriss, this title delivers a gripping narrative centering on survival and facts. ideal for fans of non-fiction, thriller, it offers an immersive journey filled with danger, urgency, culture, exploration.",non-fiction|thriller
206,A Love in Passion,James Clear,Romance,"A compelling read about lovers, spark and emotional. This book explores deep themes, masterfully written by James Clear. It stands out in its representation of Romance.",4.02,4430,594,"a compelling read about lovers, spark and emotional. this book explores deep themes, masterfully written by james clear. it stands out in its representation of romance.",romance
